user_id,age,sex,user_lv_cd,user_reg_dt
3020,36-45Ыъ,2,2,2016/2/27
3029,26-35Ыъ,2,4,2013/4/29
3046,36-45Ыъ,2,3,2016/2/27
3078,26-35Ыъ,2,3,2013/4/30
3079,46-55Ыъ,2,2,2016/2/27
3081,46-55Ыъ,2,2,2016/2/27
3150,36-45Ыъ,2,3,2016/2/28
3312,36-45Ыъ,2,2,2016/3/1
3325,36-45Ыъ,2,3,2016/3/1
3352,26-35Ыъ,1,3,2016/3/1
3399,46-55Ыъ,2,2,2016/3/2
3463,-1,2,1,2016/3/3
3519,-1,2,3,2016/3/3
3584,16-25Ыъ,2,5,2016/3/4
3738,36-45Ыъ,2,2,2016/3/5
3755,26-35Ыъ,2,3,2016/3/5
3770,36-45Ыъ,2,2,2016/3/6
3779,26-35Ыъ,0,5,2010/8/23
3811,16-25Ыъ,2,3,2016/3/6
3812,36-45Ыъ,0,5,2010/8/24
3820,26-35Ыъ,2,2,2016/3/6
3863,-1,2,1,2016/3/7
3902,-1,2,1,2016/3/7
3907,36-45Ыъ,0,5,2013/5/6
3941,-1,2,1,2016/3/7
3999,26-35Ыъ,1,5,2010/8/24
4106,36-45Ыъ,2,2,2016/3/9
4162,36-45Ыъ,2,2,2013/5/8
4295,36-45Ыъ,2,2,2016/3/11
4373,-1,2,1,2016/3/11
4384,-1,2,2,2016/3/12
4417,16-25Ыъ,2,2,2016/3/12
4453,26-35Ыъ,0,5,2010/8/26
4542,36-45Ыъ,0,4,2016/3/13
4616,36-45Ыъ,0,4,2010/8/26
4635,-1,2,3,2016/3/13
4746,36-45Ыъ,2,5,2016/3/14
4750,-1,2,4,2016/3/14
4751,26-35Ыъ,2,5,2013/5/10
4835,26-35Ыъ,0,5,2010/8/27
4859,26-35Ыъ,2,4,2016/3/14
4910,36-45Ыъ,2,4,2016/3/15
4946,-1,2,1,2016/3/15
4965,16-25Ыъ,0,5,2016/3/15
4996,46-55Ыъ,2,3,2016/3/15
5165,46-55Ыъ,2,2,2016/3/16
5169,26-35Ыъ,2,3,2016/3/16
5199,26-35Ыъ,2,4,2016/3/16
5235,16-25Ыъ,2,3,2016/3/17
5300,36-45Ыъ,2,4,2016/3/17
5307,-1,2,1,2016/3/17
5325,-1,2,1,2016/3/17
5352,36-45Ыъ,2,2,2013/5/13
5483,-1,0,5,2010/8/29
5515,-1,2,3,2016/3/19
5548,-1,2,1,2016/3/19
5602,26-35Ыъ,0,5,2010/8/29
5654,36-45Ыъ,2,2,2016/3/20
5664,36-45Ыъ,0,5,2010/8/29
5796,16-25Ыъ,1,4,2016/3/22
5843,26-35Ыъ,0,4,2010/8/30
5850,36-45Ыъ,0,5,2010/8/30
5889,26-35Ыъ,0,4,2010/8/30
5965,36-45Ыъ,2,3,2016/3/23
5967,46-55Ыъ,2,5,2016/3/23
5979,-1,2,4,2016/3/23
5988,26-35Ыъ,0,2,2016/3/24
5993,26-35Ыъ,0,5,2013/5/17
6051,36-45Ыъ,0,4,2016/3/24
6148,26-35Ыъ,2,4,2013/5/18
6212,26-35Ыъ,2,5,2016/3/26
6222,56ЫъвдЩЯ,0,5,2013/5/18
6432,16-25Ыъ,2,2,2016/3/29
6473,16-25Ыъ,2,4,2013/5/20
6616,26-35Ыъ,0,5,2010/9/2
6681,26-35Ыъ,0,4,2010/9/2
6711,36-45Ыъ,0,5,2010/9/2
6948,36-45Ыъ,0,5,2013/5/27
6980,36-45Ыъ,0,4,2013/5/28
7110,-1,2,1,2016/4/13
7114,26-35Ыъ,0,5,2007/3/1
7155,36-45Ыъ,2,3,2016/4/14
7179,26-35Ыъ,2,4,2013/5/30
7244,36-45Ыъ,0,5,2010/9/6
7272,26-35Ыъ,0,5,2010/9/7
7290,16-25Ыъ,2,4,2013/5/31
7351,26-35Ыъ,2,3,2013/6/1
7365,26-35Ыъ,1,5,2013/6/1
7381,36-45Ыъ,0,4,2013/6/1
7385,36-45Ыъ,2,5,2013/6/1
7405,26-35Ыъ,0,5,2010/9/7
7487,26-35Ыъ,2,5,2013/6/3
7500,26-35Ыъ,2,5,2010/9/8
7504,36-45Ыъ,1,4,2010/9/8
7525,26-35Ыъ,0,5,2010/9/8
7541,36-45Ыъ,2,4,2013/6/3
7575,36-45Ыъ,0,5,2010/9/8
7592,26-35Ыъ,0,4,2013/6/4
7596,46-55Ыъ,0,5,2008/11/22
7740,16-25Ыъ,0,3,2013/6/6
7866,-1,2,1,2013/6/7
7911,26-35Ыъ,2,4,2013/6/7
8027,26-35Ыъ,0,4,2013/6/10
8114,26-35Ыъ,0,5,2013/6/12
8229,26-35Ыъ,2,4,2013/6/14
8236,26-35Ыъ,2,3,2013/6/14
8266,36-45Ыъ,2,3,2013/6/15
8271,26-35Ыъ,0,5,2013/6/15
8282,16-25Ыъ,2,4,2013/6/15
8283,36-45Ыъ,2,5,2013/6/15
8286,26-35Ыъ,2,4,2013/6/15
8304,36-45Ыъ,2,4,2013/6/16
8329,26-35Ыъ,0,5,2010/9/15
8378,16-25Ыъ,2,4,2013/6/17
8381,-1,1,2,2010/9/16
8438,36-45Ыъ,0,5,2010/9/16
8547,26-35Ыъ,0,5,2013/6/18
8656,26-35Ыъ,0,5,2010/9/18
8729,-1,1,3,2013/6/19
8743,26-35Ыъ,0,5,2010/9/18
8938,26-35Ыъ,2,5,2013/6/21
9001,46-55Ыъ,2,5,2013/6/22
9049,36-45Ыъ,0,5,2007/3/16
9064,26-35Ыъ,0,5,2010/9/21
9067,16-25Ыъ,0,3,2010/9/21
9149,36-45Ыъ,0,4,2010/9/21
9226,56ЫъвдЩЯ,0,5,2010/9/22
9228,-1,0,2,2010/9/22
9236,36-45Ыъ,0,4,2010/9/23
9310,26-35Ыъ,0,5,2010/9/23
9358,16-25Ыъ,2,3,2013/6/28
9374,26-35Ыъ,0,3,2010/9/25
9403,36-45Ыъ,2,5,2013/6/29
9667,26-35Ыъ,0,5,2010/9/27
9677,26-35Ыъ,0,5,2010/9/27
9719,26-35Ыъ,0,5,2010/9/28
9843,26-35Ыъ,2,3,2013/7/5
9912,16-25Ыъ,2,3,2013/7/6
10231,36-45Ыъ,0,3,2010/10/3
10276,26-35Ыъ,0,5,2010/10/3
10279,36-45Ыъ,0,5,2010/10/3
10295,36-45Ыъ,0,5,2010/10/4
10305,26-35Ыъ,0,5,2010/10/4
10328,26-35Ыъ,2,4,2013/7/13
10431,26-35Ыъ,0,4,2010/10/5
10661,26-35Ыъ,0,5,2013/7/18
10701,26-35Ыъ,0,5,2010/10/8
10766,-1,0,5,2010/10/9
10814,46-55Ыъ,2,4,2013/7/20
10839,26-35Ыъ,0,5,2010/10/10
10928,36-45Ыъ,0,5,2010/10/10
10951,26-35Ыъ,0,5,2010/10/10
10960,26-35Ыъ,0,5,2010/10/11
11012,26-35Ыъ,1,4,2010/10/11
11066,36-45Ыъ,0,5,2013/7/23
11098,26-35Ыъ,0,5,2010/10/12
11234,26-35Ыъ,2,4,2013/7/25
11248,-1,2,2,2013/7/25
11268,26-35Ыъ,0,4,2010/10/13
11357,36-45Ыъ,0,5,2010/10/14
11428,26-35Ыъ,0,5,2010/10/15
11502,26-35Ыъ,2,4,2013/7/29
11523,26-35Ыъ,0,5,2010/10/17
11597,36-45Ыъ,0,3,2010/10/18
11737,26-35Ыъ,0,5,2010/10/20
11745,36-45Ыъ,0,5,2010/10/20
11791,36-45Ыъ,2,5,2013/8/4
11794,26-35Ыъ,0,5,2010/10/20
11799,26-35Ыъ,0,4,2010/10/20
11848,26-35Ыъ,0,5,2010/10/21
11853,26-35Ыъ,0,4,2010/10/21
11944,36-45Ыъ,0,5,2010/10/22
11952,36-45Ыъ,2,5,2013/8/7
12060,26-35Ыъ,0,5,2010/10/24
12080,16-25Ыъ,2,5,2013/8/9
12099,26-35Ыъ,0,5,2013/8/10
12159,36-45Ыъ,2,4,2013/8/11
12224,-1,2,5,2013/8/12
12263,36-45Ыъ,0,4,2010/10/26
12347,26-35Ыъ,0,4,2013/8/14
12354,36-45Ыъ,0,5,2010/10/28
12417,26-35Ыъ,0,5,2010/10/29
12526,26-35Ыъ,0,4,2010/10/31
12570,26-35Ыъ,0,5,2010/10/31
12676,26-35Ыъ,0,5,2010/11/2
12749,26-35Ыъ,2,4,2013/8/23
12865,26-35Ыъ,1,5,2010/11/5
12912,36-45Ыъ,0,5,2010/11/6
12950,26-35Ыъ,1,4,2010/11/6
13102,26-35Ыъ,0,5,2010/11/9
13444,26-35Ыъ,0,5,2010/11/14
13496,26-35Ыъ,0,4,2010/11/15
13646,36-45Ыъ,0,5,2010/11/16
13679,36-45Ыъ,2,4,2013/9/9
13691,36-45Ыъ,0,5,2010/11/17
13803,26-35Ыъ,0,4,2010/11/18
13846,26-35Ыъ,0,5,2010/11/18
13923,36-45Ыъ,1,5,2013/9/12
14021,26-35Ыъ,0,5,2010/11/20
14128,26-35Ыъ,1,5,2010/11/22
14144,46-55Ыъ,0,4,2010/11/22
14209,26-35Ыъ,0,5,2010/11/23
14245,-1,0,5,2010/11/23
14400,-1,0,5,2010/11/25
14461,36-45Ыъ,2,4,2013/9/17
14507,26-35Ыъ,0,5,2010/11/26
14573,36-45Ыъ,2,5,2013/9/18
14739,46-55Ыъ,2,4,2013/9/20
14848,26-35Ыъ,0,5,2010/11/30
14967,46-55Ыъ,0,4,2013/9/23
15099,-1,1,5,2010/12/2
15129,26-35Ыъ,0,5,2010/12/2
15214,26-35Ыъ,2,5,2013/9/25
15339,26-35Ыъ,2,4,2013/9/27
15409,36-45Ыъ,0,5,2010/12/5
15536,36-45Ыъ,0,5,2010/12/7
15558,36-45Ыъ,0,5,2010/12/7
15618,16-25Ыъ,0,4,2010/12/7
15782,26-35Ыъ,1,4,2010/12/9
15791,36-45Ыъ,0,4,2013/10/2
15818,16-25Ыъ,0,5,2010/12/9
15822,26-35Ыъ,0,4,2010/12/10
15976,26-35Ыъ,0,5,2010/12/11
16266,-1,0,4,2010/12/14
16298,36-45Ыъ,0,4,2013/10/8
16300,36-45Ыъ,0,5,2010/12/14
16587,26-35Ыъ,0,4,2010/12/17
16639,36-45Ыъ,0,4,2010/12/17
16702,16-25Ыъ,2,4,2013/10/14
16720,-1,2,1,2013/10/14
17012,36-45Ыъ,0,5,2010/12/22
17031,36-45Ыъ,0,5,2010/12/22
17191,36-45Ыъ,0,3,2010/12/24
17295,26-35Ыъ,2,5,2010/12/25
17337,36-45Ыъ,0,5,2010/12/26
17375,26-35Ыъ,0,5,2010/12/27
17400,26-35Ыъ,0,4,2010/12/27
17502,36-45Ыъ,0,5,2010/12/28
17529,36-45Ыъ,0,3,2010/12/29
17593,46-55Ыъ,2,5,2013/10/23
17706,26-35Ыъ,0,4,2010/12/30
17791,36-45Ыъ,0,5,2010/12/31
18029,26-35Ыъ,0,4,2011/1/3
18030,26-35Ыъ,2,5,2011/1/3
18108,26-35Ыъ,0,5,2011/1/5
18114,26-35Ыъ,1,5,2011/1/6
18269,36-45Ыъ,2,5,2011/1/11
18358,36-45Ыъ,0,5,2011/1/14
18371,56ЫъвдЩЯ,0,5,2011/1/14
18404,26-35Ыъ,0,5,2011/1/15
18522,36-45Ыъ,0,5,2011/1/18
18706,-1,2,4,2011/1/20
18754,26-35Ыъ,0,5,2011/1/21
18876,36-45Ыъ,0,4,2013/11/3
19064,26-35Ыъ,0,5,2011/1/26
19085,36-45Ыъ,1,4,2011/1/27
19187,26-35Ыъ,0,5,2011/1/29
19329,16-25Ыъ,0,5,2011/2/2
19332,36-45Ыъ,0,4,2011/2/2
19336,26-35Ыъ,0,5,2011/2/2
19400,16-25Ыъ,2,5,2013/11/8
19478,56ЫъвдЩЯ,0,5,2011/2/6
19560,16-25Ыъ,2,3,2013/11/10
19639,-1,0,3,2011/2/9
19654,36-45Ыъ,0,5,2011/2/9
19670,36-45Ыъ,0,5,2007/7/3
19751,26-35Ыъ,0,4,2013/11/11
19752,26-35Ыъ,0,5,2011/2/10
19763,26-35Ыъ,0,5,2011/2/10
19798,-1,0,5,2011/2/10
19837,36-45Ыъ,0,4,2011/2/10
19915,26-35Ыъ,2,5,2013/11/11
20156,46-55Ыъ,0,5,2011/2/14
20176,26-35Ыъ,2,5,2011/2/14
20177,36-45Ыъ,0,4,2011/2/14
20321,36-45Ыъ,1,5,2011/2/16
20463,36-45Ыъ,0,3,2011/2/19
20523,36-45Ыъ,0,2,2011/2/20
20710,36-45Ыъ,2,4,2013/11/21
20841,-1,1,5,2013/11/24
21133,26-35Ыъ,1,5,2011/2/28
21453,26-35Ыъ,0,5,2011/3/5
21629,36-45Ыъ,0,3,2013/12/6
21710,26-35Ыъ,0,4,2011/3/7
21719,36-45Ыъ,0,4,2011/3/7
21749,36-45Ыъ,0,4,2011/3/8
21764,36-45Ыъ,0,4,2013/12/8
21766,36-45Ыъ,0,3,2011/3/8
21965,36-45Ыъ,2,4,2013/12/10
22040,26-35Ыъ,0,3,2013/12/11
22087,36-45Ыъ,0,4,2011/3/11
22204,16-25Ыъ,0,4,2011/3/12
22226,26-35Ыъ,0,5,2013/12/12
22263,36-45Ыъ,2,5,2013/12/13
22286,36-45Ыъ,2,4,2013/12/13
22352,36-45Ыъ,0,3,2013/12/14
22450,-1,0,5,2011/3/14
22544,16-25Ыъ,2,5,2013/12/17
22609,36-45Ыъ,0,4,2011/3/15
22636,-1,0,4,2011/3/15
22663,26-35Ыъ,0,5,2011/3/15
22904,26-35Ыъ,0,5,2013/12/23
23156,26-35Ыъ,0,5,2013/12/30
23599,16-25Ыъ,2,4,2014/1/8
23648,26-35Ыъ,0,5,2011/3/18
23813,36-45Ыъ,1,5,2011/3/20
23827,-1,0,2,2011/3/20
24238,36-45Ыъ,0,4,2011/3/28
24269,36-45Ыъ,0,4,2011/3/29
24329,36-45Ыъ,0,5,2011/3/31
24423,26-35Ыъ,0,5,2011/4/2
24487,26-35Ыъ,0,5,2014/1/17
24625,36-45Ыъ,0,5,2011/4/5
24703,-1,0,4,2011/4/7
24716,26-35Ыъ,0,4,2011/4/7
24750,26-35Ыъ,0,4,2011/4/8
24824,26-35Ыъ,0,5,2011/4/10
24825,26-35Ыъ,0,5,2011/4/10
24847,26-35Ыъ,0,5,2011/4/11
24860,36-45Ыъ,0,4,2011/4/11
24862,26-35Ыъ,0,5,2011/4/11
25000,36-45Ыъ,0,5,2011/4/16
25007,26-35Ыъ,0,5,2011/4/17
25042,46-55Ыъ,0,5,2011/4/18
25130,26-35Ыъ,0,5,2011/4/19
25243,26-35Ыъ,0,5,2011/4/22
25248,26-35Ыъ,0,5,2011/4/22
25430,-1,0,5,2011/4/28
25517,36-45Ыъ,0,4,2011/5/2
25521,26-35Ыъ,0,5,2011/5/2
25615,26-35Ыъ,2,3,2011/5/4
25618,26-35Ыъ,0,3,2011/5/4
25858,46-55Ыъ,0,5,2011/5/7
25883,36-45Ыъ,0,5,2011/5/7
25982,26-35Ыъ,0,5,2011/5/8
25990,46-55Ыъ,0,5,2014/2/4
26006,36-45Ыъ,1,5,2011/5/8
26019,26-35Ыъ,2,3,2014/2/4
26080,36-45Ыъ,0,5,2011/5/9
26131,26-35Ыъ,0,5,2011/5/10
26187,26-35Ыъ,0,4,2011/5/11
26314,26-35Ыъ,0,4,2011/5/12
26340,36-45Ыъ,0,3,2011/5/12
26345,26-35Ыъ,0,4,2014/2/8
26491,26-35Ыъ,0,5,2011/5/16
26752,-1,2,3,2014/2/13
26778,26-35Ыъ,0,5,2011/5/19
26822,26-35Ыъ,0,4,2011/5/20
26881,36-45Ыъ,2,3,2014/2/14
27034,36-45Ыъ,0,3,2011/5/23
27128,26-35Ыъ,2,4,2011/5/24
27162,26-35Ыъ,0,4,2011/5/25
27250,36-45Ыъ,0,5,2011/5/26
27252,36-45Ыъ,2,3,2014/2/18
27517,36-45Ыъ,1,5,2011/5/30
27915,26-35Ыъ,0,5,2011/6/6
27929,36-45Ыъ,0,3,2011/6/6
27993,26-35Ыъ,0,5,2011/6/8
28165,26-35Ыъ,0,5,2011/6/10
28211,36-45Ыъ,2,5,2014/2/27
28339,36-45Ыъ,0,4,2011/6/13
28372,36-45Ыъ,0,4,2011/6/13
28545,26-35Ыъ,0,5,2011/6/15
28582,36-45Ыъ,0,5,2011/6/15
28722,36-45Ыъ,0,5,2009/2/15
28769,26-35Ыъ,0,5,2011/6/17
28778,36-45Ыъ,0,4,2007/10/16
28869,36-45Ыъ,0,5,2007/10/17
28964,-1,0,3,2011/6/18
28980,26-35Ыъ,2,5,2014/3/6
29040,26-35Ыъ,0,5,2011/6/19
29072,26-35Ыъ,0,5,2011/6/19
29103,36-45Ыъ,0,4,2011/6/20
29133,36-45Ыъ,0,5,2011/6/20
29184,-1,1,5,2011/6/21
29209,36-45Ыъ,0,3,2011/6/21
29240,26-35Ыъ,0,5,2009/2/19
29259,36-45Ыъ,2,5,2009/2/19
29263,36-45Ыъ,1,5,2011/6/21
29344,36-45Ыъ,2,4,2014/3/9
29350,36-45Ыъ,2,4,2014/3/9
29410,56ЫъвдЩЯ,0,5,2011/6/23
29570,26-35Ыъ,2,4,2014/3/12
29722,36-45Ыъ,0,4,2011/6/28
29789,36-45Ыъ,2,3,2014/3/14
29872,26-35Ыъ,0,5,2011/6/30
29892,26-35Ыъ,0,5,2011/7/1
29914,26-35Ыъ,0,5,2011/7/1
29929,26-35Ыъ,0,5,2011/7/1
29950,26-35Ыъ,0,5,2011/7/1
29964,36-45Ыъ,1,5,2007/10/27
30102,56ЫъвдЩЯ,0,4,2011/7/5
30103,36-45Ыъ,0,3,2011/7/5
30139,26-35Ыъ,0,5,2011/7/5
30165,36-45Ыъ,0,2,2011/7/5
30224,16-25Ыъ,0,3,2014/3/17
30229,26-35Ыъ,0,5,2011/7/6
30245,-1,0,5,2011/7/7
30304,26-35Ыъ,0,5,2011/7/7
30391,26-35Ыъ,0,5,2011/7/8
30427,26-35Ыъ,1,5,2011/7/9
30435,36-45Ыъ,0,5,2011/7/9
30510,26-35Ыъ,0,5,2011/7/10
30603,36-45Ыъ,2,5,2014/3/21
30636,26-35Ыъ,0,5,2011/7/12
30827,16-25Ыъ,0,2,2011/7/14
30885,26-35Ыъ,1,5,2011/7/15
30938,26-35Ыъ,2,3,2014/3/26
31209,36-45Ыъ,2,3,2014/3/29
31395,26-35Ыъ,1,5,2011/7/21
31528,-1,2,1,2014/4/1
31598,36-45Ыъ,0,5,2011/7/23
31621,36-45Ыъ,0,5,2011/7/23
31631,16-25Ыъ,0,5,2011/7/23
31800,36-45Ыъ,0,4,2011/7/26
31873,36-45Ыъ,2,4,2014/4/4
31919,-1,0,2,2011/7/27
31925,26-35Ыъ,0,4,2009/3/14
31942,-1,0,5,2009/3/15
32010,26-35Ыъ,0,4,2011/7/28
32236,36-45Ыъ,0,5,2011/7/31
32261,26-35Ыъ,0,4,2011/7/31
32280,26-35Ыъ,2,3,2014/4/9
32332,26-35Ыъ,1,3,2014/4/9
32399,26-35Ыъ,0,5,2011/8/1
32554,36-45Ыъ,0,5,2007/11/16
32578,26-35Ыъ,0,4,2011/8/4
32580,-1,0,4,2011/8/4
32727,36-45Ыъ,0,5,2011/8/6
32750,26-35Ыъ,0,3,2011/8/6
32840,46-55Ыъ,2,2,2014/4/13
32854,26-35Ыъ,0,5,2011/8/7
32920,26-35Ыъ,0,4,2011/8/8
32998,26-35Ыъ,0,5,2011/8/8
33009,36-45Ыъ,0,5,2011/8/9
33125,26-35Ыъ,2,5,2014/4/15
33132,26-35Ыъ,0,5,2011/8/10
33183,26-35Ыъ,1,4,2011/8/10
33275,26-35Ыъ,0,5,2011/8/11
33382,16-25Ыъ,0,5,2011/8/13
33414,36-45Ыъ,1,4,2011/8/13
33631,26-35Ыъ,0,5,2011/8/18
33688,26-35Ыъ,0,5,2011/8/19
33694,26-35Ыъ,2,5,2014/4/22
33782,16-25Ыъ,0,4,2014/4/23
33794,26-35Ыъ,0,5,2011/8/20
33935,46-55Ыъ,0,5,2011/8/23
33952,26-35Ыъ,0,5,2009/3/30
33982,36-45Ыъ,0,3,2011/8/23
34074,36-45Ыъ,0,4,2011/8/25
34126,36-45Ыъ,0,5,2011/8/27
34145,26-35Ыъ,0,5,2011/8/27
34149,36-45Ыъ,0,4,2011/8/27
34270,36-45Ыъ,0,5,2011/8/28
34291,26-35Ыъ,0,4,2011/8/29
34346,26-35Ыъ,0,5,2011/8/29
34666,36-45Ыъ,0,4,2011/9/2
34693,36-45Ыъ,0,5,2011/9/3
34722,26-35Ыъ,1,5,2011/9/3
34738,36-45Ыъ,0,4,2011/9/4
34752,36-45Ыъ,1,5,2007/12/13
34805,26-35Ыъ,0,4,2011/9/5
34937,26-35Ыъ,0,4,2011/9/8
34948,-1,2,5,2014/5/1
35000,26-35Ыъ,0,4,2011/9/9
35041,26-35Ыъ,1,5,2011/9/10
35156,26-35Ыъ,0,5,2011/9/13
35174,26-35Ыъ,0,5,2011/9/13
35236,36-45Ыъ,0,5,2011/9/14
35328,26-35Ыъ,0,5,2011/9/16
35370,-1,0,4,2011/9/17
35396,26-35Ыъ,1,5,2011/9/17
35410,26-35Ыъ,0,5,2011/9/17
35543,26-35Ыъ,0,5,2011/9/19
35554,26-35Ыъ,0,5,2011/9/20
35695,26-35Ыъ,0,5,2011/9/21
35737,26-35Ыъ,0,3,2011/9/22
35782,-1,0,4,2011/9/23
35808,36-45Ыъ,0,4,2011/9/23
35835,26-35Ыъ,0,4,2011/9/24
36041,26-35Ыъ,1,5,2011/9/26
36100,26-35Ыъ,0,5,2011/9/27
36124,36-45Ыъ,0,4,2011/9/27
36142,26-35Ыъ,0,5,2011/9/27
36174,26-35Ыъ,1,5,2011/9/28
36257,36-45Ыъ,0,4,2011/9/29
36369,26-35Ыъ,2,4,2011/10/1
36552,26-35Ыъ,1,5,2011/10/3
36574,36-45Ыъ,0,5,2011/10/4
36682,16-25Ыъ,0,5,2011/10/5
36864,26-35Ыъ,0,5,2011/10/8
36944,-1,0,5,2011/10/9
36964,26-35Ыъ,0,4,2011/10/9
37025,36-45Ыъ,0,4,2011/10/10
37097,36-45Ыъ,0,5,2011/10/11
37098,26-35Ыъ,0,5,2007/12/29
37194,26-35Ыъ,0,5,2011/10/12
37220,26-35Ыъ,0,5,2011/10/13
37235,26-35Ыъ,2,5,2011/10/13
37405,36-45Ыъ,2,3,2011/10/15
37536,26-35Ыъ,0,5,2011/10/16
37583,26-35Ыъ,0,4,2011/10/17
37716,26-35Ыъ,0,3,2011/10/19
37922,26-35Ыъ,1,5,2011/10/21
37957,36-45Ыъ,0,5,2011/10/22
37996,36-45Ыъ,0,4,2011/10/22
38248,36-45Ыъ,1,4,2011/10/27
38485,26-35Ыъ,0,5,2011/10/31
38589,-1,2,5,2011/11/2
38655,26-35Ыъ,0,4,2011/11/3
38667,26-35Ыъ,0,4,2011/11/3
38682,26-35Ыъ,1,5,2011/11/3
38865,26-35Ыъ,0,5,2011/11/6
38904,36-45Ыъ,0,5,2009/7/8
38927,26-35Ыъ,0,5,2011/11/7
38929,46-55Ыъ,0,3,2011/11/7
38969,26-35Ыъ,0,4,2011/11/8
39025,26-35Ыъ,1,4,2009/7/11
39049,26-35Ыъ,0,4,2011/11/9
39091,26-35Ыъ,0,4,2009/7/12
39138,26-35Ыъ,1,5,2011/11/10
39196,36-45Ыъ,1,4,2009/7/13
39303,26-35Ыъ,0,5,2011/11/11
39327,26-35Ыъ,0,5,2011/11/12
39343,26-35Ыъ,0,5,2011/11/12
39382,26-35Ыъ,0,5,2011/11/12
39394,36-45Ыъ,1,5,2011/11/12
39442,36-45Ыъ,0,5,2009/7/17
39447,26-35Ыъ,0,5,2011/11/13
39534,56ЫъвдЩЯ,0,4,2011/11/14
39672,16-25Ыъ,0,5,2011/11/15
39705,-1,1,5,2011/11/15
39714,26-35Ыъ,0,5,2011/11/15
39905,46-55Ыъ,0,5,2009/7/24
39958,26-35Ыъ,2,4,2011/11/18
39999,36-45Ыъ,0,5,2008/1/20
40006,26-35Ыъ,0,5,2011/11/19
40040,26-35Ыъ,0,5,2008/1/21
40124,16-25Ыъ,0,5,2011/11/20
40150,26-35Ыъ,0,5,2011/11/21
40246,36-45Ыъ,2,5,2011/11/22
40277,26-35Ыъ,0,4,2011/11/22
40293,26-35Ыъ,0,5,2011/11/22
40350,26-35Ыъ,0,4,2011/11/23
40366,36-45Ыъ,0,3,2011/11/23
40401,56ЫъвдЩЯ,0,5,2011/11/24
40425,26-35Ыъ,0,5,2011/11/24
40462,36-45Ыъ,0,5,2011/11/25
40597,26-35Ыъ,0,5,2011/11/27
40602,26-35Ыъ,0,4,2011/11/27
40615,36-45Ыъ,0,5,2011/11/28
40688,26-35Ыъ,0,5,2011/11/29
40715,26-35Ыъ,0,5,2008/1/26
40742,46-55Ыъ,0,5,2011/11/30
40767,-1,0,5,2011/11/30
40800,26-35Ыъ,0,4,2011/12/1
40872,26-35Ыъ,1,5,2011/12/1
40894,16-25Ыъ,0,5,2011/12/2
40967,-1,0,1,2011/12/3
41090,16-25Ыъ,1,4,2011/12/5
41092,26-35Ыъ,0,4,2011/12/5
41100,26-35Ыъ,1,5,2011/12/5
41149,-1,1,5,2011/12/5
41186,26-35Ыъ,0,5,2009/8/15
41200,26-35Ыъ,0,5,2011/12/6
41249,26-35Ыъ,0,5,2011/12/7
41313,26-35Ыъ,0,5,2011/12/9
41381,26-35Ыъ,0,4,2011/12/11
41392,46-55Ыъ,0,5,2009/8/20
41416,26-35Ыъ,0,3,2011/12/11
41439,36-45Ыъ,0,5,2011/12/11
41459,26-35Ыъ,0,5,2011/12/12
41572,36-45Ыъ,0,4,2011/12/13
41573,26-35Ыъ,2,3,2011/12/13
